fra;semaine;pop;P;T;Ti;Tp;Td;cl_age90
FR;2020-S20;67114992,00;3394,00;153531,00;5,06;2,21;228,76;0
FR;2020-S21;67114992,00;4668,00;242914,00;6,96;1,92;361,94;0
FR;2020-S22;67114992,00;4012,00;273042,00;5,98;1,47;406,83;0
FR;2020-S23;67114992,00;3170,00;217487,00;4,72;1,46;324,05;0
FR;2020-S24;67114992,00;3284,00;236551,00;4,89;1,39;352,46;0
FR;2020-S25;67114992,00;3559,00;237042,00;5,30;1,50;353,19;0
FR;2020-S26;67114992,00;3575,00;264030,00;5,33;1,35;393,40;0
FR;2020-S27;67114992,00;3834,00;332954,00;5,71;1,15;496,09;0
FR;2020-S28;67114992,00;4005,00;382666,00;5,97;1,05;570,16;0
FR;2020-S29;67114992,00;4513,00;401286,00;6,72;1,12;597,91;0
FR;2020-S30;67114992,00;6639,00;509600,00;9,89;1,30;759,29;0
FR;2020-S31;67114992,00;8517,00;589363,00;12,69;1,45;878,14;0
FR;2020-S32;67114992,00;11935,00;608595,00;17,78;1,96;906,79;0
FR;2020-S33;67114992,00;17353,00;629788,00;25,86;2,76;938,37;0
FR;2020-S34;67114992,00;28177,00;846239,00;41,98;3,33;1260,88;0
FR;2020-S35;67114992,00;39986,00;1044178,00;59,58;3,83;1555,80;0
FR;2020-S36;67114992,00;52854,00;1139713,00;78,75;4,64;1698,15;0
FR;2020-S37;67114992,00;64706,00;1349236,00;96,41;4,80;2010,33;0
FR;2020-S38;67114992,00;75853,00;1384761,00;113,02;5,48;2063,27;0
FR;2020-S39;67114992,00;74124,00;1169986,00;110,44;6,34;1743,26;0
FR;2020-S40;67114992,00;79973,00;1098755,00;119,16;7,28;1637,12;0
FR;2020-S41;67114992,00;123089,00;1264198,00;183,40;9,74;1883,63;0
FR;2020-S42;67114992,00;174828,00;1597889,00;260,49;10,94;2380,82;0
FR;2020-S43;67114992,00;275475,00;1885307,00;410,45;14,61;2809,07;0
FR;2020-S44;67114992,00;335387,00;2126707,00;499,72;15,77;3168,75;0
FR;2020-S45;67114992,00;293709,00;2067940,00;437,62;14,20;3081,19;0
FR;2020-S46;67114992,00;169722,00;1575999,00;252,88;10,77;2348,21;0
FR;2020-S47;67114992,00;111766,00;1374015,00;166,53;8,13;2047,26;0
FR;2020-S48;67114992,00;76860,00;1195627,00;114,52;6,43;1781,46;0
FR;2020-S49;67114992,00;72778,00;1148037,00;108,44;6,34;1710,55;0
FR;2020-S50;67114992,00;80304,00;1310909,00;119,65;6,13;1953,23;0
FR;2020-S51;67114992,00;98776,00;2305727,00;147,17;4,28;3435,49;0
FR;2020-S52;67114992,00;82603,00;2938922,00;123,08;2,81;4378,94;0
FR;2020-S53;67114992,00;94089,00;1761469,00;140,19;5,34;2624,55;0
FR;2021-S01;67114992,00;121056,00;1927663,00;180,37;6,28;2872,18;0
FR;2021-S02;67114992,00;121764,00;1895235,00;181,43;6,42;2823,86;0
FR;2021-S03;67114992,00;133598,00;1946013,00;199,06;6,87;2899,52;0
FR;2021-S04;67114992,00;134687,00;2104538,00;200,68;6,40;3135,72;0
FR;2021-S05;67114992,00;130440,00;2156752,00;194,35;6,05;3213,52;0
FR;2021-S06;67114992,00;113142,00;2097978,00;168,58;5,39;3125,95;0
